resource,message_id,translated,notes
1315,3,What is that one plotting?,
1315,4,Probably...,
1315,5,He probably intends to gain Odin's power and become a god.,
1315,1,"He obtained the Philosopher's Stone, the only human to survive Ragnarok.",
1315,6,"A future where Lezard is the only human...
Wouldn't it be better to destroy that?",
1315,7,The flow of time is constantly wavering.,
1315,2,"I have no objection to the future changing,
but there is no reason for one human to distort it.",
1315,8,"Originally, aren't you all serving Ahly in order to defeat Lezard?",
1315,9,It is not subservience.,
1315,10,It is cooperation to save Silmeria.,
1315,11,Then I can join you as a comrade too.,
1315,2760,,
1315,2752,,
1315,2753,,
1315,2754,,
