bank,resource,voice_scene,slot_count,category
1482,1297,1170,7,cutscene
1483,1197,10,36
1484,1195,20,36
1485,1197,30,15
1486,1217,41,14
1487,1217,42,11
1488,1219,50,22
1489,1221,71,16
1490,1223,73,14
1491,1227,90,14
1492,1201,100,31
1493,1229,110,21
1494,1231,130,5
1495,1235,140,12
1496,1233,150,39
1497,1237,160,25
1498,1229,170,12
1499,1239,180,41
1500,1213,200,27
1501,1243,210,21
1502,1245,220,33
1503,1247,230,32
1504,1243,240,30
1505,1253,250,20
1506,1255,260,30
1507,1261,270,18
1508,1263,280,16
1509,1335,290,40
1510,1335,300,23
1511,1275,310,15
1512,1277,320,57
1513,1299,331,31
1514,1303,332,1
1515,1269,800,12
1516,1251,850,30
1517,1209,340,15
1518,1199,350,8
1519,1227,361,19
1520,1337,,21,cutscene
1521,1281,380,36
1522,1283,390,20
1523,1337,,7,cutscene
1524,1337,402,2
1525,1337,,6,cutscene
1526,1299,410,21
1527,1285,810,19
1528,1357,420,27
1529,1211,430,32
1530,1287,440,14
1531,1289,450,13
1532,1291,461,36
1533,1289,462,6
1534,1287,470,9
1535,1287,480,15
1536,1295,490,3
1537,1299,500,11
1538,1309,510,32
1539,1307,520,11
1540,1307,530,26
1541,1337,,13,cutscene
1542,1337,543,4
1543,1307,550,50
1544,1299,560,14
1545,1301,571,1
1546,1303,572,9
1547,1303,580,32
1548,1305,590,41
1549,1305,600,14
1550,1311,830,10
1551,1307,860,2
1552,1233,870,1
1553,1313,610,32
1554,1351,621,18
1555,1315,623,11
1556,1317,630,7
1557,1317,640,15
1558,1353,650,22
1559,1337,,18,cutscene
1560,1321,680,41
1561,1323,690,4
1562,1323,,16,alternate
1563,1325,702,23
1564,1323,820,2
1565,1389,840,12
1566,1203,1020,13
